rewards,progresses,cross_track_errors,timesteps,durations,collisions,goals_reached
-1627.6180989690913,0.46626982989781696,287.92863059634544,2002.0,2002.0,0.0,4040
-1497.6252961565735,0.0,70.31451867979477,2002.0,2002.0,0.0,4040
-928.9539087375459,0.33209160426902684,13.534353198865064,332.0,332.0,1.0,4040
-2364.841731877231,0.11300870352026905,265.92246199481457,1449.0,1449.0,1.0,4040
-1762.0846594929942,0.09398441300299518,283.5065943890204,2002.0,2002.0,0.0,4040
-1521.213067810987,0.0,211.9049320372569,2002.0,2002.0,0.0,4040
-929.1124719727828,0.2089175888777935,9.536593375138665,295.0,295.0,1.0,4040
-1900.4373173845504,0.0,306.2496351186062,2002.0,2002.0,0.0,4040
-1111.072195275353,0.40192743083599464,58.65681286954862,398.0,398.0,1.0,4040
-1497.6252961565735,0.0,70.31451867979477,2002.0,2002.0,0.0,4040
-1893.4298284664721,0.0,199.15960488268962,2002.0,2002.0,0.0,4040
-2364.841731877231,0.11300870352026905,265.92246199481457,1449.0,1449.0,1.0,4040
-1762.0846594929942,0.09398441300299518,283.5065943890204,2002.0,2002.0,0.0,4040
-1116.5107011609891,0.33925401568365665,52.841747070416105,412.0,412.0,1.0,4040
-1555.461571832707,0.0,114.47843388489157,2002.0,2002.0,0.0,4040
-1198.8087420049453,0.23782610761710218,59.42133341895796,412.0,412.0,1.0,4040
-1111.072195275353,0.40192743083599464,58.65681286954862,398.0,398.0,1.0,4040
-1497.6252961565735,0.0,70.31451867979477,2002.0,2002.0,0.0,4040
-1005.6337047483566,0.3507503329088224,36.41923413108696,368.0,368.0,1.0,4040
-958.0954567415532,0.998804316411236,209.58464561333528,1265.0,1265.0,0.0,4040
-1043.1541844618046,0.3640122515994547,23.032992037886352,481.0,481.0,1.0,4040
-1116.5107011609891,0.33925401568365665,52.841747070416105,412.0,412.0,1.0,4040
-1555.461571832707,0.0,114.47843388489157,2002.0,2002.0,0.0,4040
-924.3505844308985,0.35301169220500495,8.604835228436116,331.0,331.0,1.0,4040
-178.52886572072862,0.9910065850575888,44.501645254716436,895.0,895.0,0.0,4040
-1492.2027558356685,0.6422472359076202,120.10386346804474,822.0,822.0,1.0,4040
-1286.6351025153144,0.5842816534249707,65.25902811118564,645.0,645.0,1.0,4040
-958.0954567415532,0.998804316411236,209.58464561333528,1265.0,1265.0,0.0,4040
-1134.585943211212,0.1662987539633483,54.42426905512953,289.0,289.0,1.0,4040
-1116.5107011609891,0.33925401568365665,52.841747070416105,412.0,412.0,1.0,4040
-1539.6146259120856,0.10845694915300248,125.56160075785718,738.0,738.0,1.0,4040
-1378.598619049182,0.265643131563083,73.27407275810424,697.0,697.0,1.0,4040
-178.52886572072862,0.9910065850575888,44.501645254716436,895.0,895.0,0.0,4040
-1210.365239491157,0.0,12.730024651244644,290.0,290.0,1.0,4040
-997.901045904017,0.40936238360212457,26.716732689177398,399.0,399.0,1.0,4040
-1404.132743754697,0.0,39.66476678657949,772.0,772.0,1.0,4040
-1134.585943211212,0.1662987539633483,54.42426905512953,289.0,289.0,1.0,4040
-1116.5107011609891,0.33925401568365665,52.841747070416105,412.0,412.0,1.0,4040
-1272.9891480743197,0.3975884112632687,57.41896545978072,603.0,603.0,1.0,4040
-1040.5597262090923,0.5465640981828597,38.147691821948605,457.0,457.0,1.0,4040
-178.52886572072862,0.9910065850575888,44.501645254716436,895.0,895.0,0.0,4040
-1210.365239491157,0.0,12.730024651244644,290.0,290.0,1.0,4040
-1012.7701457711782,0.17684193012671737,29.52687152481974,176.0,176.0,1.0,4040
-1404.132743754697,0.0,39.66476678657949,772.0,772.0,1.0,4040
-938.1500016837009,0.5620091980476035,12.868459806080274,319.0,319.0,1.0,4040
-1868.7094413710633,0.6721037971217121,82.99303343971279,1489.0,1489.0,1.0,4040
-1093.4304196829837,0.2535984083287318,27.21893909096341,279.0,279.0,1.0,4040
-992.0774917319491,0.33833576602314225,14.424651238838942,360.0,360.0,1.0,4040
-127.28810598626204,0.9910049385090494,38.90654407596991,1078.0,1078.0,0.0,4040
-1369.9556378098953,0.0,64.24786742226206,488.0,488.0,1.0,4040
-1012.7701457711782,0.17684193012671737,29.52687152481974,176.0,176.0,1.0,4040
-949.5169923440899,0.17913525524520887,5.700840748581529,210.0,210.0,1.0,4040
-938.1500016837009,0.5620091980476035,12.868459806080274,319.0,319.0,1.0,4040
-1868.7094413710633,0.6721037971217121,82.99303343971279,1489.0,1489.0,1.0,4040
-1093.4304196829837,0.2535984083287318,27.21893909096341,279.0,279.0,1.0,4040
-1279.1768705123766,0.0,37.910972617834496,301.0,301.0,1.0,4040
-85.72407298561286,0.991340911589975,43.190787176924836,824.0,824.0,0.0,4040
-1369.9556378098953,0.0,64.24786742226206,488.0,488.0,1.0,4040
44.632628401293076,0.9901200814247301,26.64794175758396,810.0,810.0,0.0,4040
-1119.0802213530183,0.056989594959102684,51.38430232028274,234.0,234.0,1.0,4040
-1412.4708982728207,0.6197229249841036,106.468391776483,731.0,731.0,1.0,4040
-1493.3435167956318,0.4279914201798946,44.47588226770863,1219.0,1219.0,1.0,4040
-483.6671099129206,0.9903780442481512,67.9147831662893,1222.0,1222.0,0.0,4040
-1459.7991211301546,0.41768493345535507,68.0070762576713,799.0,799.0,1.0,4040
-85.72407298561286,0.991340911589975,43.190787176924836,824.0,824.0,0.0,4040
-278.2844866080183,0.9902983530757152,64.31807152524509,1059.0,1059.0,0.0,4040
44.632628401293076,0.9901200814247301,26.64794175758396,810.0,810.0,0.0,4040
-1119.0802213530183,0.056989594959102684,51.38430232028274,234.0,234.0,1.0,4040
-1412.4708982728207,0.6197229249841036,106.468391776483,731.0,731.0,1.0,4040
-1493.3435167956318,0.4279914201798946,44.47588226770863,1219.0,1219.0,1.0,4040
-483.6671099129206,0.9903780442481512,67.9147831662893,1222.0,1222.0,0.0,4040
-995.7165375214913,0.0,10.122943793495203,98.0,98.0,1.0,4040
-945.0059675013348,0.46529870616680785,14.856201323095217,295.0,295.0,1.0,4040
-278.2844866080183,0.9902983530757152,64.31807152524509,1059.0,1059.0,0.0,4040
-326.258685177047,0.9907191937143293,50.623394206322196,1362.0,1362.0,0.0,4040
-428.37780987864613,0.9913846504997877,98.6268585737904,1159.0,1159.0,0.0,4040
-1148.6122618447703,0.40200002104224153,31.939055633596006,637.0,637.0,1.0,4040
-276.80120864430575,0.999631570310793,58.212937003126775,653.0,653.0,0.0,4040
-1221.5827585901006,0.6452173667807031,64.38536630523456,623.0,623.0,1.0,4040
-261.9872585743776,0.9905976004612949,49.60132050954857,1076.0,1076.0,0.0,4040
-22.43743149386136,0.9928816950200203,39.13441155114781,559.0,559.0,0.0,4040
-1148.7023589663809,0.4863839664744296,54.58814579498393,475.0,475.0,1.0,4040
-1711.2183415472211,0.6633165282371528,126.34608822737196,999.0,999.0,1.0,4040
-918.6471405839569,0.5324513008300075,16.749555502852132,429.0,429.0,1.0,4040
-1368.0733601177226,0.13695562655180854,72.5269097496175,620.0,620.0,1.0,4040
-1275.989500361914,0.21295727610800622,65.97129027502623,416.0,416.0,1.0,4040
-1205.240627717969,0.4929561818676202,52.78541549748064,666.0,666.0,1.0,4040
