rewards,progresses,cross_track_errors,timesteps,durations,collisions,goals_reached
-941.7703271381621,0.30434293650395056,14.44468977414201,314.0,314.0,1.0,4415
-1203.1535327738602,0.17242170226388853,55.40169666206143,449.0,449.0,1.0,4415
-1364.0635690752094,0.3918902390381393,67.12451726899727,725.0,725.0,1.0,4415
-1196.4755824198257,0.4603655987350852,80.09813042022219,364.0,364.0,1.0,4415
-1887.9648922960916,0.0,150.9506576777302,2002.0,2002.0,0.0,4415
-1563.8004767550544,0.8760291767659417,219.65901655733933,2002.0,2002.0,0.0,4415
-1216.81703739732,0.4937034713642326,61.18806286269833,666.0,666.0,1.0,4415
-1216.635014782625,0.3420860222800122,25.342424339750774,591.0,591.0,1.0,4415
-1852.503137167284,0.23885578008842157,163.57613517541049,1036.0,1036.0,1.0,4415
-1681.225204122375,0.1999505546709295,211.5663634960765,2002.0,2002.0,0.0,4415
-1171.7107224679257,1.0012319121398099,125.36477712721928,1714.0,1714.0,0.0,4415
-890.6358409946113,0.4493422558935898,9.345510254532131,450.0,450.0,1.0,4415
-1009.1863347997975,0.11709569928971725,38.231273492238515,231.0,231.0,1.0,4415
-313.8444069540358,0.9905793710927244,59.45649191157547,1027.0,1027.0,0.0,4415
-1185.8797651986686,0.19955155709449424,60.50441942715968,414.0,414.0,1.0,4415
-1210.7493338151592,0.9904363946905295,201.94775122850893,1568.0,1568.0,0.0,4415
-1041.3278090578756,0.41126741261745725,45.13399527873018,355.0,355.0,1.0,4415
-291.1499446987292,1.000288209786656,60.25516863387934,969.0,969.0,0.0,4415
-1184.7479950725685,0.9902906871597085,166.826991011723,1760.0,1760.0,0.0,4415
-1036.301939851041,0.3374879002474549,33.73701149522104,349.0,349.0,1.0,4415
-11.309102739737181,0.9900070007558737,34.576407156802894,780.0,780.0,0.0,4415
-202.5711972936208,0.9905252882352072,70.26279281978476,627.0,627.0,0.0,4415
-141.05681971490327,0.990761714489856,53.2988208771624,866.0,866.0,0.0,4415
181.57761814325616,0.9903397117110756,14.051852561754306,711.0,711.0,0.0,4415
-910.9654804170888,0.32195143223711414,11.600875329779903,357.0,357.0,1.0,4415
-204.22469784184196,0.9907494312485913,55.33949982637026,858.0,858.0,0.0,4415
122.47704554068856,0.9907790732567142,19.872121396270643,838.0,838.0,0.0,4415
-1036.301939851041,0.3374879002474549,33.73701149522104,349.0,349.0,1.0,4415
-271.50483083613534,1.0001379607342658,55.80963453316183,792.0,792.0,0.0,4415
-945.1715084013497,0.4716248404236046,11.291275222656745,439.0,439.0,1.0,4415
-101.99203496702516,0.9915295016376932,54.856750668265015,848.0,848.0,0.0,4415
181.57761814325616,0.9903397117110756,14.051852561754306,711.0,711.0,0.0,4415
-910.9654804170888,0.32195143223711414,11.600875329779903,357.0,357.0,1.0,4415
-962.7568780283266,0.26616585538730947,17.098608358813962,223.0,223.0,1.0,4415
-863.9603314048209,0.7148416173799507,10.04094484699535,537.0,537.0,1.0,4415
-986.5175821830027,0.580395506531092,28.25770702217016,387.0,387.0,1.0,4415
-1021.9410741908831,0.49093635026567467,33.537070019071834,564.0,564.0,1.0,4415
-945.1715084013497,0.4716248404236046,11.291275222656745,439.0,439.0,1.0,4415
-178.71238610542693,1.0006936381806226,48.98854155693049,873.0,873.0,0.0,4415
-48.71694342220266,0.9907748520357968,32.37128560558193,832.0,832.0,0.0,4415
89.03079065755973,1.0011941433367137,17.471486516267774,698.0,698.0,0.0,4415
-962.7568780283266,0.26616585538730947,17.098608358813962,223.0,223.0,1.0,4415
-248.24378619911997,1.0009966097717806,73.0444038274469,584.0,584.0,0.0,4415
-67.55071714129917,0.9905287284854133,41.25257125402009,756.0,756.0,0.0,4415
-1011.7035551379809,0.0,16.384241815467004,82.0,82.0,1.0,4415
-1020.040525477781,0.20831357798967085,32.5970871103374,247.0,247.0,1.0,4415
-1028.3790934659778,0.3205360433231154,27.499149001673377,369.0,369.0,1.0,4415
-1094.8232463323582,0.585249713694247,54.26136645936724,372.0,372.0,1.0,4415
-47.20739015920653,0.9966885985529677,31.31642964811587,596.0,596.0,0.0,4415
-121.00633177815435,0.99007245361513,54.973051830635455,879.0,879.0,0.0,4415
-87.09335021923994,0.9901616690578398,45.34473840034204,752.0,752.0,0.0,4415
-57.932047137179076,0.9995041539720246,35.49349482149618,693.0,693.0,0.0,4415
201.91172043278686,0.9913890207744551,14.51869644542593,733.0,733.0,0.0,4415
152.57149892407043,0.9911200580453342,11.970429264427754,875.0,875.0,0.0,4415
100.31492967808494,0.9901155921776799,20.515946390555797,729.0,729.0,0.0,4415
-1094.8232463323582,0.585249713694247,54.26136645936724,372.0,372.0,1.0,4415
139.01721267794952,0.9902159521260591,20.68123030305157,760.0,760.0,0.0,4415
-52.35011696459181,0.9901474415896662,28.86030565803082,970.0,970.0,0.0,4415
-124.30266919544044,0.9901441957957633,38.76451570728988,1058.0,1058.0,0.0,4415
-1036.4351850119983,0.4058786678530945,40.767793346297914,425.0,425.0,1.0,4415
-1051.088423764386,0.6031299808189036,43.07415335441004,473.0,473.0,1.0,4415
-1018.3657843392684,0.4069119721748713,17.13245346711948,482.0,482.0,1.0,4415
107.54017192364358,0.990822242313847,27.91167050078324,736.0,736.0,0.0,4415
150.80038976442214,0.990787196079352,19.75667957064497,811.0,811.0,0.0,4415
-1015.8236541740702,0.3580505290817872,35.76595488284847,323.0,323.0,1.0,4415
97.24085635374873,0.9987973006451738,16.46767594781171,653.0,653.0,0.0,4415
